id_praga,praga_nome_cientifico
546,Rottboellia exaltata
547,Panicum capillare
548,Atta capiguara
549,Migdolus fryanus
550,Cornitermes bequaerti
551,Ceratocystis paradoxa
552,Puccinia melanocephala
553,Thanatephorus cucumeris
554,Epicauta atomaria
555,Rhynchelytrum roseum
556,Blainvillea latifolia
557,Phytophthora citrophthora
558,Pythium aphanidermatum
559,Neonectria galligena
560,Phytophthora cactorum
561,Dactyloctenium aegyptium
562,Colletotrichum gossypii cephalosporioides
563,Puccinia kuehnii
564,Rumex acetosella
565,Cleome affinis
566,Silene gallica
567,Spergula arvensis
568,Stachys arvensis
569,Stellaria media
570,Cercospora spp.
571,Colletotrichum cliviicola
572,Castnia licus
573,Puccinia arachidis
574,Oídio Erysiphe pisi
575,Tranzschelia pruni-spinosae
576,Bruggmanniella perseae
577,Stenoma catenifer
578,Enneothrips enigmaticus
579,Hyalospila ptychis
580,Carmenta foraseminis
581,Maecolaspis trivialis
582,Acanthoscelides obtectus
583,Conotrachelus psidii
584,Costalimaita ferruginea vulgata
585,Aceria litchii
586,Aegomorphus jaspideus
587,Gymnandrosoma aurantianum
588,Loxa deducta
589,Megacyllene acuta
590,Monellia caryella
591,Oncideres dejeani
592,Malvastrum coromandelianum
593,Oebalus poecilus
594,Pontederia cordata
595,Mucuna aterrima
596,Bidens alba
597,Colletotrichum gloesporioides
598,Uromyces alstroemeriae
599,Pseudocercospora purpurea
600,Sphaeroteca fuliginea
601,Cercospora brassicicola
602,Colletotrichum circinans
603,Alternaria sonchi
604,Cercospora cichorii
605,Cercospora circumscissa
606,Pseudocercospora annonae-squamosae
607,Pseudocercospora cladosporioides
608,Puccinia pampeana
609,Peronospora parasitica
610,Moniliophthora roreri
611,Curvularia eragrostidis
612,Colletotrichum gloeosporioides f.sp cepae
613,Alternaria cichorii
614,Cercospora citrullina
615,Colletotrichum gloeosporioides f. sp. cucurbitae
616,Peronospora pisi
617,Cercospora tetragoniae
618,Alternaria steviae
619,Phyllosticta zingiberi
620,Pseudocercospora passiflorae
621,Alternaria cucumerina
622,Mycosphaerella brassicicola
623,Pseudocercospora mombin
624,Phoma betae
625,Septoria pisi
626,Phoma caricae-papayae
627,Cercospora viçosae
628,Uromyces manihotis
629,Alternaria passiflorae
630,Pseudocercospora punicae
631,Tetranychus desertorum
632,Ipomoea hederacea
633,Pythium ultimum
634,Meloidogyne graminicola
635,Rotylenchulus reniformis
636,Euetheola humilis
637,Omiodes indicata
638,Aethalion reticulatum
639,Heliothrips haemorrhoidalis
640,Sternocolaspis quatuordecimcostata
641,Anastrepha obliqua
642,Anuraphis schwartzi
643,Horcias nobilellus
644,Neocapritermes opacus
645,Saissetia oleae
